fen_string,solution_moves,difficulty_elo,tag_id
2r3k1/p3b1pp/1p2pr2/2p5/4BPQP/1P2P1P1/P2q4/2R2RK1 w - - 0 22,c1c2 d2e3 g1h2 e3e4,967,17
6k1/1p4p1/p6p/2p3PP/2q3r1/P1b2N1R/8/3Q3K b - - 3 33,c4a2 d1d8 g8h7 g5g6 g4g6 h5g6,1096,17
2k3rr/ppp1pQ2/8/4q3/7P/2P1PRp1/PP6/3R2K1 b - - 0 22,g8g7 f7f8 h8f8 f3f8,1092,25
1r2k1nr/p3p3/3p1p2/2p5/2P1P1qp/1PQ2RP1/P4P1P/R1B3K1 w k - 0 20,f3f4 g4d1 c3e1 d1e1,947,17
1R6/1P5k/5p2/4pK2/4P3/1r3P2/8/8 b - - 4 49,b3f3 f5e6 f3b3 e6f6,1254,17
r1bq2nr/ppp3p1/2np1k1p/2b1p1NP/4P3/3P1Q2/PPP2PP1/RNB1K2R b KQ - 2 9,f6e7 f3f7,667,37
8/4p3/3pP3/3k3b/1P6/P1KN1p2/8/8 b - - 1 44,d5e6 d3f4 e6f5 f4h5,752,17
5r2/R4p2/p5pk/2pq1nNp/P4Q1P/6PK/5P2/8 b - - 7 36,c5c4 g5e6 h6h7 e6f8 h7g8 h3h2,2674,17
2r4k/5p1p/p5p1/2Pr4/4R3/P6P/3p1PP1/3R2K1 w - - 1 29,e4c4 c8e8 g1h2 e8e1 d1d2 d5d2,1786,17
r4r1k/p6p/5q2/3Q4/6P1/2P1n3/PP2R1PP/R5K1 w - - 1 27,d5e4 f6f1 a1f1 f8f1,970,37
8/6pk/3P4/4q3/4pr1p/3Q3P/6P1/4R2K w - - 0 37,d6d7 e4d3 e1e5 f4d4 d7d8r d4d8,2089,17
8/8/3P4/5k2/2R5/2P2bpP/7r/4RK2 w - - 3 59,e1e3 h2h1,1639,25
r1bq1bkr/pppp2pp/2n5/4P1NQ/3p4/8/PPP2PPP/RNB1K2R b KQ - 0 8,f8e7 h5f7,971,37
q5k1/p2p1r2/1pp2p2/6pp/8/P1PQBnP1/P4P1P/R4RK1 w - - 1 23,g1g2 c6c5 d3g6 f7g7 g6e8 a8e8,1754,17
q5k1/5p1p/7B/1R2p3/3p4/5QP1/2r4P/6K1 b - - 2 29,a8f3 b5b8 c2c8 b8c8,665,25
2k2r1r/pp5q/2p1p2P/3pP3/3N1n2/2P1P3/P1Q3R1/1R3K2 w - - 0 30,c2h7 f4g2 f1g2 h8h7,1544,2
5rk1/5p2/p5r1/2q2N1N/PpPpQP1p/1P2b3/7P/4R2K b - - 4 36,g8h7 h5f6 g6f6 f5e3,1950,20
8/8/2KP3p/4k1pP/8/1b3B2/8/8 b - - 0 58,b3a4 c6c7 g5g4 f3g4,1621,9
r4rk1/pp3p2/5QB1/2pbp2p/6qP/3P4/P1P4K/R5R1 b - - 4 25,g4f4 f6f4 e5f4 g6e4 g8h8 e4d5,1476,2
2r3k1/pp2n1p1/5p1p/4p2Q/2q5/P1N1P1P1/1P3PKP/3R4 w - - 2 26,d1d7 c4c6 h5f3 c6d7,1188,17
4r1k1/2q2pp1/1pp4p/p3b3/8/PPB3QP/1P3PP1/3R2K1 w - - 0 24,g3e3 e5h2 g1h1 e8e3,760,25
3qr3/1b3pk1/p4bpp/3p4/Pr2p3/1P4QP/2BN1PP1/1R2R1K1 b - - 3 28,f6g5 g3c3 d8f6 c3b4,1607,2
2kr1b1r/pppb1ppp/n4n2/1N6/3N1B2/8/PPP2PPP/2KR1B1R b - - 6 13,c7c6 b5a7,1145,37
r1bk1q1r/pppp1Bpp/1Q6/3N4/5BnP/6P1/P4P2/R4RK1 b - - 0 19,a7b6 f4c7,1565,37
r2q1k1Q/ppr3p1/2b1p1Bp/3pP3/8/8/PP3PPP/R4RK1 b - - 6 20,f8e7 h8g7,924,37
r2q1k2/ppp3pp/2nb1R2/8/3Pp3/1QP5/PP1N2PP/R6K b - - 0 17,d8f6 a1f1 e4e3 f1f6 g7f6 d2f3,1807,2
7Q/4kp2/3q4/8/4rP2/8/7P/6RK b - - 0 48,e4f4 g1e1 e7d7 h8e8 d7c7 e1c1 c7b6 c1b1,2375,17
r4rk1/7p/4bPp1/p2p4/1p2p3/8/PPPqB2Q/1K3R1R b - - 1 30,a8a7 e2g4 d2h2 g4e6 g8h8 h1h2,2412,2
2R2rk1/3P1pp1/1p4b1/8/8/P6Q/5P1K/3q4 b - - 11 37,g6e4 c8f8 g8f8 h3h8 f8e7 h8e8,1573,6
2r1N1k1/pp1n1p1p/4R1pq/6b1/2B5/8/P1Q3PP/5K1R b - - 0 24,f7e6 c4e6 g8f8 c2c8,1473,2
2r5/pp5k/1p4bp/2qPQ1p1/4P1P1/3B3P/PPP2R2/2K5 w - - 1 28,e5e6 c5f2 e6d7 g6f7 e4e5 h7g7,1951,2
r2r2k1/5pb1/3p2p1/4p2p/q7/1NB2P2/1PPQ2PP/1K1R3R w - - 2 24,d2d5 a4a2 b1c1 g7h6 f3f4 h6f4 c3d2 a2a1 b3a1 a8a1,1767,37
3R3k/6pp/p1q3r1/4rp2/1Q2bR2/P3P3/6PP/6K1 b - - 1 34,e5e8 b4f8 e8f8 d8f8,1378,7
r4b1q/3n1k2/p2p4/1ppPpp2/6b1/5pQ1/PPPB3N/2KN3R b - - 1 23,f8e7 h2g4 h8h1 g4h6 h1h6 d2h6,1949,2
4r3/1p3ppp/p7/2kn4/8/1N6/PP3PPP/3R2K1 b - - 1 21,c5b4 d1d4 b4b5 d4d5,1573,17
N2k3r/p4ppp/4p3/1Bqp1b2/1b6/1Q3PP1/PP5P/R1B2K1R w - - 3 17,b5e2 f5h3,1407,37
6k1/6p1/3p1p2/3PbPqp/4B3/5Q1P/6P1/1r5K w - - 0 45,e4b1 g5c1 f3d1 c1d1,907,25
r2q1rk1/ppp2ppp/1bn1b3/3p4/P2Pn3/1B3N1P/1P3PP1/RNBQR1K1 b - - 0 11,c6e7 a4a5 b6a5 a1a5,1980,2
1rb5/1pN1kp1p/p2pp1p1/8/1P1qP3/P4Q2/5PPP/3R2K1 b - - 3 24,d4b6 e4e5 d6e5 f3c3,2341,2
1r3rk1/1b3ppp/p2qpn2/3p4/8/2NB2R1/PPP2PPP/2QR2K1 b - - 5 18,d5d4 g3g7 g8g7 c1g5 g7h8 g5f6,2192,6
r1b2r1k/pp5p/n5p1/1N2q2n/2Bp4/2P2p1P/PP3P2/R1BQ1K1R w - - 0 22,b5d4 h5g3 f1g1 g3h1,1795,2
5rk1/4Qp2/p3p1p1/7p/P2q4/8/1P1K1P1P/R2R4 w - - 8 34,d2c2 f8c8 c2b1 d4d1,1206,17
2kr3r/ppp2ppp/4p3/2b5/R3NPnq/3P1Q2/PPP2P2/R1B2K2 w - - 4 19,e4c5 g4h2 f1e2 h2f3,1247,17
8/3rk3/7p/KP4p1/4B1P1/5P2/8/8 b - - 0 48,e7e6 e4f5 e6e7 f5d7,894,17
6k1/6pp/1p3r2/pR6/Pn2P3/1N6/1P5P/1K6 w - - 3 30,b3d4 f6f1,556,25
8/6p1/8/1p1pkP1p/6P1/5K1P/2P5/8 w - - 0 42,f3e3 h5g4 h3g4 b5b4 e3d3 e5f4 d3d4 f4g4 f5f6 g7f6,2501,17
2bn4/r1p1kpQ1/pp2q3/8/2P1Bp2/PP2P1P1/1B5R/2K5 w - - 1 25,b2f6 e6f6 g7f6 e7f6,673,2
4r1k1/1p2ppb1/1Pp2nbp/3PB1p1/1P2p3/5P2/1r1NB1PP/2R1K2R b K - 0 22,e4f3 e5b2 f3g2 h1g1,2024,2
8/5p2/2p5/1PPk1bP1/8/2K5/8/8 b - - 0 61,f5g6 b5b6 d5c5 b6b7 c5d6 b7b8q,1304,1
r7/1b1p1Q1p/p1qkp3/1p6/PP4P1/3B2P1/2P4P/R4RK1 w - - 1 23,f7f2 c6h1,1094,37
7Q/pp1r1p2/k1n3p1/3qB3/2N5/8/P4PPP/2R3K1 w - - 3 28,e5b2 d5d1 c1d1 d7d1,842,7
8/1p2r1pk/p1p2bRp/5q2/PQ3P1P/8/1PP5/6RK w - - 0 39,b4d6 f5h3,1468,25
3q2rk/3n2p1/2R3Qp/4P3/3P4/5N2/5r1P/6RK b - - 1 28,f2f3 g6h6 g7h6 c6h6,1192,37
8/1pR2Rpk/p3p2p/3rb3/P5B1/1r1P3P/5PP1/6K1 w - - 0 31,g4e6 b3b1 c7c1 b1c1,621,25
8/p1R3kp/8/3B4/P2n2K1/8/1r6/8 b - - 6 40,g7h6 d5e4 b2g2 e4g2,1956,17
8/6pp/pp3p2/2p2k2/P1P2P2/1Pb1BK1P/5P2/8 b - - 1 28,c3d4 e3d4 c5d4 b3b4 g7g5 b4b5,2441,2
4r1k1/p4pp1/7p/3b4/3B4/Q1P3qP/PP3RP1/6K1 w - - 1 32,c3c4 e8e1 f2f1 g3g2,1375,19
r5k1/8/p2p2p1/2pP4/1qpn1p2/8/1P1K1PP1/1Q2R2R w - - 4 31,d2c1 d4b3 c1d1 b4d2,1160,25
r5k1/N2R2pp/1p2pp2/3n4/3p4/6P1/PPrN1PKP/3R4 w - - 1 22,d2b3 d5e3 g2g1 e3d1,1049,17
5r1k/p2nr3/1p2p1QP/3p2p1/3q4/3B4/PP3PP1/1K2R2R w - - 2 25,e1e6 f8f2 d3c2 d7f8 e6e7 f8g6,2639,17
8/p1kP4/1p2PN1b/2p5/2B1K3/3Pr3/PPP2R2/6r1 w - - 7 36,e4d5 g1g5 f2f5 g5f5,925,25
8/pR6/2R5/k3p3/2P2p2/5r2/P2r4/4K3 b - - 4 42,f3f2 b7b5 a5a4 c6a6,1648,25
1r3r1k/1p1b2pp/pq6/3Pp1Q1/3nN3/1B1P1R1P/PPP4K/R7 w - - 7 26,f3g3 d4f3 g3f3 f8f3,1726,17
rqb2r2/p3Npkp/4nnp1/3p4/8/2QBPNP1/P4PP1/2R1K2R b K - 5 20,b8d6 h1h7 g7h7 c3f6,1959,17
8/2b5/8/2k2p2/1p3Pp1/1P2N1P1/3K4/8 b - - 15 62,c7f4 g3f4 c5d4 e3f5,796,17
5rk1/pp3ppp/4p3/2q1n3/4P3/1B1r4/PP2QP1P/2R2RK1 b - - 4 18,e5f3 e2f3 c5c1 f3d3,1712,2
rnb1k2r/pp1p1ppp/4pn2/2b1B3/2B5/q3P3/P1PN1PPP/1R1QK1NR b Kkq - 5 8,c5e3 f2e3 a3e3 d1e2,1978,2
1r4k1/2p1r1p1/4b3/p1q5/7Q/2P3R1/PP3P2/2K1R3 b - - 1 31,c5f2 g3g7 e7g7 h4f2,1402,2
8/5p2/2p1q3/5pkp/3P4/2P3P1/3Q3K/8 b - - 1 41,g5g4 d2f4,875,25
2Q5/2P2bpk/7p/8/P4N2/6PP/5q1K/8 w - - 0 47,f4g2 f7d5 c8f5 f2f5,1287,25
5rk1/pq3ppp/1p1p3b/3N1R2/4P3/3P2Q1/PP4PP/7K b - - 0 29,b7c6 d5e7 g8h8 e7c6,1083,17
r1bq1r1k/2p1nppp/p2P4/1p2p1B1/1b2P3/1BN5/PP3PPP/R2Q1RK1 b - - 0 14,c7d6 g5e7 d8e7 c3d5 e7g5 d5b4,2195,2
2r2r1k/4b1pp/4Q3/q2pp1P1/1p1pP3/1P1P4/1PP2PK1/2B4R b - - 3 27,a5c7 h1h7 h8h7 g5g6 h7h8 e6h3 e7h4 h3h4 h8g8 h4h7,1910,6
2q2rk1/1p2p3/p2pb1pB/8/1n2P1P1/1Nr2P2/P1P4Q/1K1R3R w - - 0 23,h6d2 c3b3 a2b3 c8c2 b1a1 c2a2,1953,20
8/1p3p2/1P4p1/2K1k2p/p7/6PP/1P3P2/8 b - - 1 40,e5e4 c5d6 e4d3 d6c7,1189,17
8/8/2R3kp/4prp1/8/3P2P1/2P3K1/8 b - - 2 59,f5f6 c6f6 g6f6 g3g4,2155,17
r3k2r/q2p1pp1/b1nQp3/p3N1B1/Pp2P1p1/2P5/1PB2PP1/R2R2K1 b kq - 1 18,c6e5 d6e7,906,37
3r3r/1b2kppp/2q2b2/P4P2/1P6/3Q4/2P2PPP/3RR1K1 b - - 0 21,e7f8 d3d8 f6d8 d1d8 c6e8 e1e8,802,35
3r3k/p6p/1p4p1/4b3/4BR2/1P5P/P5P1/7K w - - 1 30,f4f3 d8d1 f3f1 d1f1,633,25
r1bq1r1k/1pp3pp/1n3b2/p6R/P7/1B1P3P/1PP2PP1/R1BQ2K1 b - - 4 20,c8d7 h5h7 h8h7 d1h5,743,6
r5k1/p2n1pp1/1pq2n1p/2pb1N2/5B2/1B3P1P/PP4P1/2R1Q1K1 b - - 0 22,d5b3 f5e7 g8h7 e7c6,918,17
6rk/p4prp/1p1q1p2/2p2Q2/2P1B2P/3P2n1/PP3P1K/3R1R2 w - - 0 29,f2g3 d6g3 h2h1 g3h4 f5h3 h4h3,1383,35
8/2p4p/8/p3pkPP/2P3R1/5PK1/2r5/8 b - - 0 45,a5a4 g5g6 h7g6 h5g6 c2d2 g6g7,1854,1
2r3rk/3q1p1p/1p2pPpB/p1b1P3/P2p3Q/6P1/1PP3BP/5R1K b - - 5 27,c5f8 h6f8 c8f8 f1f4 g6g5 h4h6 g8g6 h6f8,2120,17
4r1k1/1R3ppp/p7/8/2b5/4P3/2P3PP/6K1 b - - 0 28,e8e3 b7b8 e3e8 b8e8,855,7
8/4kp1p/8/8/p7/2N1rP2/2K3PP/8 b - - 3 31,a4a3 c3d5 e7e6 d5e3,718,17
r2qr3/ppp2kpp/2n2b2/8/3p4/2P2Q2/PP3PPP/RNBR2K1 w - - 2 14,c3d4 c6d4 f3h5 g7g6 h5h7 f6g7 b1c3 e8h8,2525,17
4r1k1/5p2/p6p/Pr2p1p1/1p6/1P1qRQPP/1P4P1/3R2K1 b - - 0 31,e5e4 d1d3 e4f3 e3e8,1624,17
4r1k1/pQ3ppp/3b4/2p5/2Bp1qb1/2PP1n2/PP1N1PPP/4R1K1 w - - 0 20,d2f3 e8e1 f3e1 f4h2 g1f1 h2h1,1874,34
2r4k/5pp1/7p/p7/P1b5/2Rn3P/5PP1/5RK1 b - - 0 41,d3b4 f1c1 b4d5 c3c4 c8c4 c1c4,1543,2
r3kb1r/1bqp1p1p/p1n1p3/6p1/P1N1Pn2/B1P2N2/2B2PPP/R2R1QK1 b kq - 1 16,g5g4 c4d6 f8d6 a3d6,1900,2
r2q3r/pp2b1k1/2pp1n1R/4p3/4P3/2N2P1Q/PPP3P1/2K4R b - - 4 22,d8g8 h6h8 g8h8 h3g3 g7f7 h1h8,2177,2
2b1rk1r/4q3/4p1Q1/3pPPN1/p1pP3P/1nP5/6P1/1R1R2K1 b - - 0 36,e6f5 e5e6 c8e6 d1f1,2788,2
1k6/7R/1ppn4/8/3K4/3B4/PPP3PP/3r4 w - - 1 26,h7h6 d6f5 d4e5 f5h6,1156,2
8/pp2Rpk1/6pp/8/8/4N2P/2B2qPK/8 b - - 1 33,g7f6 e3g4 f6e7 g4f2,1566,2
r7/8/PN3R2/4p1pp/1p3b2/4kP1P/1PK5/8 b - - 2 42,a8a6 b6d5 e3f3 f6a6,1708,2
8/8/KP1p4/3k1p2/2pb1P2/8/8/2B5 b - - 0 58,d5c6 b6b7 c6c7 c1a3,1944,1
1r1q1b1r/3pnkpp/p2Q1p2/1p6/8/8/PPP2PPP/RNB1R1K1 b - - 0 15,e7g6 d6d5,1110,37
r1bqr1k1/1pp2ppp/p1n5/2b5/2P1p1n1/P3P1P1/1P1N1PBP/R1BQNRK1 w - - 1 12,b2b4 c5e3 f2e3 g4e3 d1e2 e3f1,1819,2
8/7p/p2p4/1pp1k3/6PP/PP2K3/2P5/8 b - - 0 35,h7h6 c2c4 b5b4 a3a4 a6a5 h4h5 e5f6 e3f4,2539,17
8/8/8/4k1p1/5p1p/2K2P2/6PP/8 b - - 2 56,e5f5 c3d4 f5e6 d4e4 e6f6 e4d5 h4h3 g2h3,1849,17
r1b1k1nr/pp1p2pp/3b1p2/4q3/2B1P3/2NQ4/PP3PPP/R1B1K2R w KQkq - 4 11,e1g1 e5h2,491,34
Q5k1/4K2p/6q1/8/8/8/8/8 b - - 23 63,g8g7 a8f8,833,25
r1k3nr/pbppbQqp/1p6/3PP3/8/2N1B3/PPP3PP/R4RK1 b - - 2 16,g7e5 f7e8 e7d8 e8e5,1734,17
4r1k1/p4ppp/2R5/1p4P1/3q4/7P/1N6/1K6 b - - 0 47,e8e2 c6c8 d4d8 c8d8 e2e8 d8e8,498,7
2rq1rk1/1p3pp1/p3p2p/3pPP2/2n2B1b/2N2P2/P1P1Q3/2K3RR b - - 3 21,d8b6 g1g7 g8h8 e2h2 b6b2 c1d1 c4e3 f4e3,2198,17
2k4r/p1p3bp/1p2r3/4np2/P3p3/2P1B3/1P2BPPP/R2R2K1 b - - 3 19,h8d8 e2a6 c8b8 d1d8,1098,19
rn1q3k/pp3pp1/2p2N1p/4P3/6Q1/3B4/PP4PP/2R3K1 b - - 0 20,d8d3 g4c8 d3d8 c8d8,1041,25
3k4/1Np5/p1P3p1/4Rn2/8/5P2/Pr6/6K1 b - - 1 39,d8c8 e5e8,1020,25
8/8/1KQ5/8/1p2k3/8/8/1q6 b - - 3 58,e4d3 c6g6 d3d4 g6b1,1228,17
2R5/pp3p1k/7p/1b1P1Pp1/5rB1/P3qN2/6QP/7K w - - 8 32,f3g5 h6g5 g2h3 e3h3,1699,2
5r1k/1p4p1/p1p1p2p/3qBr2/1P1P4/1R2Q2P/5PP1/6K1 b - - 13 31,f5f2 e3h6 h8g8 h6g7,1349,25
4r3/pB5R/1kP5/3b4/8/1P4P1/P2P1P2/6K1 w - - 3 36,h7h6 e8e1 g1h2 e1h1,656,25
3k4/1p1b4/p1pP1p2/8/1Pq5/P6P/2P3PK/4Q3 b - - 0 35,c4d5 e1e7 d8c8 e7f8 d7e8 f8e8,1190,25
r5rk/4qp1p/ppb1pp1Q/2p5/P1n2B2/2P3NP/1P3PP1/3R1RK1 b - - 1 22,c4b2 f4d6 g8g6 h6g6 h7g6 d6e7,1676,2
4B3/8/5kp1/4p3/4PpKP/3n1P2/8/8 w - - 2 51,h4h5 d3f2 g4h4 g6g5,1603,25
5r2/pp3pkp/4qNp1/3p4/3Q4/rP5P/6P1/5R1K b - - 2 30,a3b3 f6e8 g7g8 d4g7,2111,21
r7/pp2Rp1k/2p2p1b/5q1p/8/6QP/PP4PK/2B5 b - - 0 27,h6c1 e7f7 h7h8 g3g7,989,25
r3k2r/ppp1bp1p/6p1/4PP1K/2B5/2N5/PP5P/R2R4 w kq - 0 19,f5g6 h7g6 h5g4 h8h4 g4f3 h4c4,1379,2
6k1/p6p/4p1p1/PP6/8/7P/n4PP1/5K2 b - - 0 33,a2c3 b5b6 a7b6 a5b6 c3d5 b6b7,833,1
8/p4k2/5p2/3N1pn1/3P2p1/1P2P1Pq/P4P1P/R4RK1 w - - 1 26,d5f4 g5f3 g1h1 h3h2,1066,25
8/8/2p2p1p/1p2kPp1/1P2P1P1/3NK2P/8/5b2 b - - 1 32,f1d3 e3d3 e5f4 d3d4,1149,17
4rr1k/pp1q3p/3p4/2pP2Q1/5BP1/PP3P2/8/R5K1 b - - 0 32,d7e7 g5e7 e8e7 f4d6,1357,2
8/ppk1pR2/3p1b2/3B4/8/1P2PpP1/P1PK1P1r/8 w - - 3 32,d2e1 f6c3 e1d1 h2h1,1156,25
rnb2rk1/pp3pp1/2p5/4R3/5p1q/3B4/PPP3PP/R1BQ2K1 b - - 0 16,b8d7 e5h5 h4h5 d1h5,1288,17
8/2p3k1/6p1/1K6/5N1p/5P1P/3r2P1/8 b - - 2 53,d2d4 f4e6 g7f6 e6d4,688,17
8/8/3pp1p1/8/1k4KP/1p3P2/1Qr5/8 w - - 8 55,b2d4 c2c4 d4c4 b4c4,678,17
r3k2r/ppp3p1/3p2qp/3Np3/6bR/6P1/PPP2QK1/5R2 b kq - 0 19,e8c8 d5e7 c8b8 e7g6,1041,17
8/6kP/1P6/5Bp1/P5P1/8/r1p2r2/1RK1R3 w - - 0 49,b1b2 a2a1 b2b1 a1b1,1542,25
3r4/4Qp2/1p1p3k/pBpP1Ppn/P7/5PRP/1P1q4/6K1 w - - 14 42,e7f7 d2e1 b5f1 e1g3,1562,17
3rk3/3n1prp/4p1q1/2Q5/2P5/5B1N/P1P3PP/5R1K w - - 0 28,f3c6 g6g2 c6g2 d7c5,1124,2
r4b2/p2RP3/1p3k2/2p2pp1/Q7/2P2qP1/P6r/4R1K1 w - - 0 28,g1h2 f3f2 h2h1 f2e1,966,2
2r5/p4pk1/3bp1r1/3p3Q/3q4/1P6/P2NKP2/R6R b - - 1 28,c8c2 h5h8,1459,37
3rkb1r/ppp2ppp/2n2n2/1B2p3/6b1/5N2/PPP2PPP/RNB1K2R w KQk - 0 9,f3e5 d8d1,944,37
8/6p1/7p/4p3/4P1kP/2N3P1/3n2K1/8 b - - 9 54,h6h5 c3d1 g7g6 d1e3,2308,25
6rk/p1p2prp/3p4/8/2PQ1P2/1P2PB1n/P4P1P/1q3R1K w - - 0 25,f1b1 h3f2,1217,16
r2q1r2/pp2p1kp/3p1pp1/3Bn1B1/3QP2P/5P2/PPP2P2/R3R1K1 w - - 0 16,g5f4 e5f3 g1g2 f3d4,1041,2
r3kb1r/ppp1qpp1/2p5/1n5p/5Qb1/1BN5/PPPP1PPP/R1B2K1R w kq - 4 11,c3b5 e7e2 f1g1 e2d1,1188,7
r1k3nr/p1p2Qpp/2pbN3/8/7q/2N5/PPPB1P2/R4RK1 w - - 1 17,d2f4 g8h6 f7g7 h8g8 g7g8 h6g8,2216,2
r1b2rk1/pp2qpp1/2n1p3/2pn2NQ/3P3P/4P3/PP3PP1/RN2K2R b KQ - 3 12,f8d8 h5h7 g8f8 h7h8,916,34
8/8/P1n5/8/3p1n2/3Nk3/2K5/8 w - - 0 63,d3f4 e3f4 c2d3 f4e5 d3c4 c6a7,2497,17
5r1k/6pp/5qp1/2Q5/4p3/4P2P/Pr3PP1/2R2RK1 b - - 0 23,b2f2 c5f8 f6f8 f1f2,1692,17
2r3k1/pp3qpR/1b2p3/1b1pP3/1P1P4/P2B4/1B1N2QP/6K1 w - - 3 30,d3b1 b6d4 g1h1 d4b2,1316,2
bn2k2r/p4pp1/4p2p/2B3q1/8/2P5/PP3PPP/R2QR1K1 w k - 1 18,d1d6 g5g2,557,34
4rrk1/ppp2ppp/3n4/3P4/2P3Q1/1PN3P1/P2q1P1P/R3R1K1 w - - 1 20,c3e4 d6e4 e1e4 d2c3 a1d1 f7f5,2979,2
6rk/5p2/4p3/3p1q2/3P1p1p/2P2PrP/4RQP1/6RK w - - 2 42,e2e5 g3h3 g2h3 f5h3 f2h2 h3f3 g1g2 h4h3 e5h5 f3h5 g2g8 h8g8,1892,17
5rk1/p5pp/P1p1p2q/1p1b4/3P4/2P1R1rP/3Q2PK/4R3 w - - 0 31,h2g3 h6f4,1474,25
2r3k1/5pp1/5q2/1p4p1/1P6/3p2P1/2rR1P1P/1Q1R2K1 b - - 0 52,f6b2 b1b2 c2b2 d2b2,1294,17
2rq1r1k/pb2bppB/4p3/2n1N3/3p1N2/P3P3/5PPP/RQ3RK1 b - - 0 19,d4e3 e5f7 f8f7 f4g6 h8h7 g6f8 h7g8 b1h7 g8f8 h7h8,2303,21
2rq2k1/p4pp1/5n1p/2R5/P2P4/5Q2/3N1PPP/6K1 w - - 3 30,h2h3 c8c5 d4c5 d8d2 f3a8 g8h7,1206,17
r2q1rk1/1b3p1p/p5p1/1p1p4/3Q2N1/8/PPB2PPP/R4nK1 b - - 0 21,f7f5 g4h6,1157,37
R7/5pk1/2n4p/p7/Pb5P/2p3P1/2K1BP2/8 w - - 8 47,a8a6 c6d4 c2d3 c3c2,1580,1
6k1/1p2n1pp/3p1p2/2PPpP2/rP4B1/q7/3Q2PP/5R1K b - - 0 29,a3b4 d2b4 a4b4 c5d6 b4b6 d6e7,1317,1
r1b2bnr/pp1k1ppp/4P3/3N4/5B2/8/PPP2PPP/3K1B1R b - - 0 14,f7e6 f1b5 d7d8 f4c7,1471,37
rn1q1rk1/p1p2p2/1p2p1pp/4P2P/4Q3/P1nP1N2/1P3PP1/R3K2R w KQ - 0 16,e4a8 d8d3 b2c3 d3c3 e1e2 b8c6 a8f8 g8f8,2101,2
Q4r1k/p1p2ppp/5q2/4R3/2b5/2P5/P4PPP/4R1K1 b - - 0 19,f8a8 e5e8 a8e8 e1e8,465,7
8/6pk/p7/Pp1Q3p/1P1P1P1P/6P1/5RK1/3q2r1 w - - 1 41,g2h3 d1g4 h3h2 g4g3,1888,25
5rk1/4Qppp/p7/1r3b2/N2q1nP1/1P1P3P/P4P2/2R1R1K1 b - - 0 23,f5d3 e7f8 g8f8 c1c8 d4d8 c8d8,1516,6
6k1/1pq1b1pp/4P3/p4Q2/8/2P4P/6P1/7K b - - 2 31,a5a4 f5f7 g8h8 f7e8 e7f8 e8f8,984,25
4n1k1/1p2qpb1/p2p3p/2pP4/2P2Q1N/2N4P/PP3PP1/6K1 w - - 2 24,h4f5 e7e1 g1h2 g7e5 f4g3 e5g3,1103,2
6r1/pbp2p1k/1p2pn1p/1R6/2PP4/4Pq2/P3QP1P/5R1K w - - 0 22,e2f3 b7f3,763,25
r7/5pk1/1p1r3p/5PpP/P2p1nP1/1P1NR1K1/8/3R4 w - - 0 37,d3f4 g5f4 g3f4 d4e3,1527,17
r4rkR/p3qp2/2p1b1p1/3pPnN1/5Qp1/8/PPP2P2/2KR4 b - - 1 24,g8h8 f4h2 f5h4 h2h4 h8g7 h4h7,1941,28
r2qkbnr/pp2pppp/8/2p1n3/3p4/2P2P2/PP1PNP1P/R1BQKB1R w KQkq - 0 8,c3d4 e5f3,1038,37
1Q6/4Nppk/7p/3p3n/r5P1/4Pq1P/5P2/5RK1 b - - 6 34,f3h3 b8g8,1055,25
2rr2k1/6p1/4p1b1/2P4p/2P4P/2Kp1P2/6P1/R4N1R w - - 3 29,a1a5 d3d2 f1d2 d8d3 c3b4 d3d2,1776,1
8/2R5/8/6p1/3k4/8/2P3r1/5K2 b - - 1 44,g2d2 c7d7 d4c3 d7d2 c3d2 c2c4,1590,17
1n1k3r/6Qp/pq2p3/1p6/8/PB6/1P3nPP/R4R1K w - - 1 20,h1g1 f2h3 g1h1 b6g1 f1g1 h3f2,1249,21
rnb1kb1r/pp3p1p/2p5/4N3/3qPNp1/8/PPPP2PP/R1BQK2R w KQkq - 1 10,e5g4 d4e4 g4e3 e4f4,1228,2
4r2k/3b1p1n/pr3N1P/1pp1P1R1/3p3n/2PP1Q1P/PPB2P2/6RK b - - 0 31,h4f3 g5g8 e8g8 g1g8,1079,4
8/1p4rk/3P1Q1p/p1p1p3/4P3/6q1/2P2RP1/6K1 b - - 0 39,a5a4 d6d7 g7d7 f6f5,2172,1
8/p2b1kp1/7p/2B1R3/2p5/3P1P2/5KPP/1r6 b - - 0 32,c4d3 e5e7 f7g8 e7d7,932,2
8/p5p1/PkP3P1/1P6/2KP1b2/8/8/8 b - - 2 59,f4d6 c4d5 d6h2 d5e6 b6b5 e6d7,2440,9
2kr4/pp6/2q4p/2p3p1/3p4/1Q1P1RP1/PPP4P/1K6 w - - 1 27,f3f7 c6h1 f7f1 h1f1,651,7
2R5/5kp1/8/3R4/1K6/1P6/8/4q3 w - - 1 57,b4a4 e1e4 b3b4 e4d5,1551,2
r7/2q2kp1/p1pb1p1p/3p1bn1/P1pP3P/2P1RP2/1P1B1QP1/4R1K1 b - - 0 29,d6g3 e3e7 c7e7 e1e7 f7e7 f2g3,1133,2
r7/1p1b2k1/p1qppbp1/8/4PP2/2N2Q2/PPP3BR/2K5 b - - 0 22,a8h8 h2h8 g7h8 f3h3 h8g8 e4e5 c6c4 e5f6,1419,6
